BarnName,Index,DHIID,RFID,Lact#,DIM,Merit$,DateDue,Repr,PTAM,PTAFat,PTAPro,LctAvSCCS,SireCode,MGSCode,DamName,DamPTAM,DamPTAF,DamPTAP,DamMerit$
2965 ,2965,47TXC8955,,4,164,+581,7-20,P,+925,+62,+46,5.2,7HO6417,29HO9429,2081,-175,+11,+3,+138
6820 ,6820,47VBY9828,,1,165,+551,8-20,P,+489,+85,+36,0.1,1HO7290,7HO6417,2965,+925,+62,+46,+581
6470 ,6470,47VBY8588,,1,364,+501,,C,+657,+62,+37,1.6,7HO6417,29HO10321,5165,+717,+40,+26,+254
6687 ,6687,47VBY8957,,1,240,+498,5-09,P,+1197,+67,+41,1.3,7HO6417,14HO3831,5285,+2074,+58,+48,+277
5298 ,5298,47TYY0824,,3,84,+497,,,+1158,+50,+41,0.1,7HO6417,,2279,,,,
2840 ,2840,47TXC8340,,4,199,+493,6-30,P,+584,+36,+38,1.4,7HO6417,11HO5293,2006,+629,+16,+27,+257
6717 ,6717,47VBY9246,,1,161,+493,8-14,P,+1317,+51,+46,1.8,1HO9226,1HO6360,2731,+1072,+34,+29,+440
6472 ,6472,47VBY8551,,1,320,+478,3-14,P,+1236,+75,+38,1.2,1HO7235,29HO12044,2963,+1094,+43,+29,+314
5583 ,5583,47TZK4442,,3,29,+476,,,+651,+38,+39,8.2,7HO6417,11HO4662,1712,+488,-17,+24,+90
2666 ,2666,47TXC8076,,5,40,+471,,,+791,+43,+34,0.1,7HO6417,,3677,,,,
5756 ,5756,47VAN9728,,3,26,+469,,,+1135,+71,+43,7.3,1HO7127,9HO2704,2508,-56,+20,+2,+42
6613 ,6613,47VBY8787,,1,303,+467,3-17,P,+283,+53,+22,0.6,7HO6417,29HO10321,5367,-253,+16,-3,+91
5026 ,5026,47TXC8970,,4,209,+463,8-14,P,+832,+47,+37,3.8,7HO6417,,3976,,,,
6353 ,6353,47VBY8473,,1,452,+460,6-20,S,+1662,+56,+52,3.1,1HO7127,7HO6417,2968,+463,+31,+21,+362
5932 ,5932,47VAJ8290,,2,218,+456,5-30,P,+1183,+73,+49,0.7,29HO9155,14HO3367,2794,+982,+71,+40,+429
5211 ,5211,47TZK4221,,3,293,+454,7-27,P,+775,+55,+43,3.2,7HO6417,,3810,,,,
6500 ,6500,47VBY8711,,1,283,+453,1-26,P,+778,+21,+35,0.2,7HO6417,29HO8614,1668,+608,-8,+17,+175
6631 ,6631,47VBY8782,,1,285,+452,6-11,P,+456,+47,+28,1.7,1HO5045,9HO2575,2684,+289,+7,+19,+333
5474 ,5474,47TZK4418,,3,219,+443,6-07,P,+766,+43,+35,0.7,1HO8752,,3931,,,,
2731 ,2731,47TXC8519,,4,97,+440,10-06,,+1072,+34,+29,6.7,1HO6360,,3492,,,,
5655 ,5655,47TZK4803,,3,123,+439,,C,+984,+49,+38,0.6,7HO6417,11HO4623,2527,+770,+12,+14,-10
6637 ,6637,47VBY8937,,1,297,+439,3-23,P,+1092,+47,+25,0.9,1HO6721,7HO6417,5251,+1168,+46,+35,+435
2721 ,2721,47TXC8522,,4,228,+435,5-25,P,+930,+44,+45,1.9,7HO6417,,3414,,,,
