BarnName,Index,DHIID,RFID,AgeMons_Ref,HfrMerit$,DateDue,SireCode,MGSCode,DamName,DamPTAM,DamPTAF,DamPTAP,DamMerit$,SireMerit$
7207 ,7207,47VCP2210,,23,+562,2-18,7HO6417,1HO7127,5873,+2085,+47,+63,+428,+696
8513 ,8513,47VFF1131,,6,+557,,1HO9167,94JE3083,6116,+2260,+49,+47,+397,+717
8556 ,8556,000000000,,5,+529,,1HO2543,7HO6417,2965,+925,+62,+46,+581,+476
8828 ,8828,000000000,,,+521,,1HO9995,7HO6417,5583,+651,+38,+39,+476,+565
8484 ,8484,47VFF1017,,6,+512,,751HO9952,501HO7169,6792,+128,+13,+6,+432,+591
8243 ,8243,000000000,,9,+470,,751HO9103,7HO6417,6613,+283,+53,+22,+467,+473
7707 ,7707,000000000,,18,+459,8-12,501HO8407,7HO6417,6176,+799,+51,+39,+580,+338
8451 ,8451,47VEB6995,,6,+458,,1HO7127,7HO6417,5026,+832,+47,+37,+463,+453
8430 ,8430,47VEB6964,,7,+457,,1HO7290,1HO8752,5474,+766,+43,+35,+443,+470
8517 ,8517,47VFF1158,,5,+452,,751HO9952,14HO4099,6821,+534,-3,+20,+313,+591
7630 ,7630,47VCP2867,,18,+448,8-28,1HO7127,1HO8752,5474,+766,+43,+35,+443,+453
8409 ,8409,47VEB6972,,7,+443,,1HO2676,7HO6417,2721,+930,+44,+45,+435,+450
7759 ,7759,47VEB5291,,16,+438,9-28,7HO7615,7HO6417,5655,+984,+49,+38,+439,+437
8617 ,8617,000000000,,4,+436,,751HO9103,14HO4099,6259,+759,+13,+28,+398,+473
8646 ,8646,000000000,,4,+436,,1HO9167,29HO10321,5421,+143,+25,+7,+154,+717
8290 ,8290,000000000,,9,+433,,751HO9208,1HO5045,6631,+456,+47,+28,+452,+413
8533 ,8533,47VFF1160,,5,+432,,1HO9167,1HO6721,6196,+534,+28,+6,+146,+717
7944 ,7944,47VEB6341,,14,+431,,1HO8654,29HO10483,5805,+825,+59,+25,+334,+527
8832 ,8832,000000000,,,+430,,1HO9593,1HO7127,5756,+1135,+71,+43,+469,+391
7226 ,7226,000000000,,23,+429,3-03,1HO7169,7HO6417,5134,+344,+29,+29,+403,+455
8767 ,8767,000000000,,1,+428,,1HO9167,507HO6838,6319,+566,+39,+12,+138,+717
7592 ,7592,47VCP2882,,19,+427,9-22,1HO6833,7HO6417,2783,+1050,+63,+41,+468,+386
8395 ,8395,47VEB6823,,7,+427,,1HO7290,1HO6721,6054,+618,+49,+19,+384,+470
